date,country_code,cases,deaths,recovered,retail,grocery,parks,transit,work,residential,s1_school,s2_workplace,s3_events,s4_transport,s5_info,s6_movement,s7_travel,s8_fiscal,s9_monetary,s10_investment,stringency
2020-03-26,PNG,1,0,0,-24.259155327642283,-12.100839680000009,-9.356857526207287,-44.57546749288042,-17.325002772000442,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
2020-03-27,PNG,1,0,0,-24.944657617536176,-13.232431359999993,-9.883611214960684,-43.10096517915422,-14.629383204701314,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
2020-03-28,PNG,1,0,0,-29.73304859751787,-19.706748160000007,-13.406257815575724,-45.16980309718838,0.3262130441940918,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
2020-03-29,PNG,1,0,0,-20.3380211590046,-8.250000639999998,-11.375007412710993,-45.77098021028489,11.5200037632006,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,5.0,0.0,95.24
2020-03-30,PNG,1,0,0,-23.447152471929957,-17.07975552,-8.834392896490785,-47.464618163715265,-16.948674647787943,,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,3.0,0.0,95.24
2020-03-31,PNG,1,0,0,-23.066115942373727,-10.394901759999994,-13.415975557391246,-47.26230101299047,-18.37500294000047,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,80.95
2020-04-01,PNG,1,0,0,-23.312607825512682,-15.719297279999992,-15.219336019428734,-47.26230101299047,-14.674521451923438,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,80.95
2020-04-02,PNG,1,0,0,-28.494884341385053,-18.285712640000003,-11.584682711177974,-40.86084520180705,-15.925006132000984,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,80.95
2020-04-03,PNG,1,0,0,-19.586179417122036,-8.302704639999993,-13.321397100167301,-43.857119636120785,-12.131685141069623,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,80.95
2020-04-04,PNG,1,0,0,-17.839822970756412,-7.882695679999998,-14.625002900626049,-42.0,5.545631159300985,,2.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,80.95
