date,country_code,cases,deaths,recovered,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c6_stay_at_home_requirements,c7_restrictions_on_internal_movement,c8_international_travel_controls,e1_income_support,e2_debt/contract_relief,e3_fiscal_measures,e4_international_support,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h4_emergency_investment_in_healthcare,h5_investment_in_vaccines,stringencyindexfordisplay,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-03-09,JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,19.44,-6.0,0.0,-10.0,-3.0,1.0,1.0
2020-03-10,JAM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,26.59,-1.0,19.0,-7.0,0.0,1.0,1.0
2020-03-11,JAM,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2784500000.0,0.0,2.0,1.0,1.0,0.0,0.0,30.56,-2.0,19.0,-10.0,-4.0,1.0,2.0
2020-03-12,JAM,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,30.56,-6.0,19.0,-10.0,-6.0,-3.0,3.0
2020-03-13,JAM,1.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,57.55,-16.0,13.0,-17.0,-15.0,-15.0,9.0
2020-03-14,JAM,2.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,57.55,-23.0,1.0,-20.0,-17.0,-8.0,8.0
2020-03-15,JAM,8.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,57.55,-35.0,-17.0,-28.0,-26.0,-10.0,7.0
2020-03-16,JAM,8.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,57.55,-24.0,-8.0,-28.0,-26.0,-22.0,13.0
2020-03-17,JAM,10.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,57.55,-25.0,-7.0,-31.0,-27.0,-25.0,13.0
2020-03-18,JAM,10.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,72.49,-33.0,-18.0,-39.0,-31.0,-33.0,17.0
2020-03-19,JAM,12.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,72.49,-34.0,-19.0,-37.0,-34.0,-35.0,18.0
2020-03-20,JAM,13.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,72.49,-34.0,-20.0,-40.0,-30.0,-33.0,19.0
2020-03-21,JAM,15.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,75.27,-37.0,-17.0,-39.0,-27.0,-21.0,12.0
2020-03-22,JAM,16.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,75.27,-49.0,-30.0,-47.0,-42.0,-25.0,10.0
2020-03-23,JAM,16.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,75.27,-35.0,-23.0,-42.0,-36.0,-34.0,18.0
2020-03-24,JAM,19.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,75.27,-36.0,-23.0,-45.0,-37.0,-37.0,18.0
2020-03-25,JAM,19.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-35.0,-21.0,-44.0,-37.0,-36.0,18.0
2020-03-26,JAM,21.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-36.0,-20.0,-41.0,-38.0,-38.0,19.0
2020-03-27,JAM,26.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-35.0,-19.0,-41.0,-39.0,-35.0,20.0
2020-03-28,JAM,26.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-40.0,-23.0,-44.0,-39.0,-26.0,14.0
2020-03-29,JAM,26.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-53.0,-36.0,-50.0,-50.0,-29.0,12.0
2020-03-30,JAM,30.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-37.0,-26.0,-45.0,-42.0,-37.0,19.0
2020-03-31,JAM,32.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,77.78,-36.0,-20.0,-45.0,-40.0,-39.0,19.0
2020-04-01,JAM,36.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-45.0,-31.0,-51.0,-46.0,-41.0,22.0
2020-04-02,JAM,36.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-46.0,-32.0,-50.0,-47.0,-43.0,23.0
2020-04-03,JAM,44.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-46.0,-31.0,-49.0,-47.0,-39.0,24.0
2020-04-04,JAM,47.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-47.0,-31.0,-48.0,-45.0,-30.0,16.0
2020-04-05,JAM,47.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-58.0,-39.0,-54.0,-55.0,-33.0,13.0
2020-04-06,JAM,53.0,7.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-42.0,-31.0,-47.0,-47.0,-39.0,21.0
2020-04-07,JAM,58.0,8.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-42.0,-29.0,-49.0,-44.0,-42.0,21.0
2020-04-08,JAM,58.0,8.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-40.0,-25.0,-46.0,-42.0,-40.0,20.0
2020-04-09,JAM,63.0,8.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-28.0,3.0,-34.0,-29.0,-40.0,17.0
2020-04-10,JAM,63.0,10.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-84.0,-83.0,-72.0,-75.0,-80.0,40.0
2020-04-11,JAM,63.0,12.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,182257000.0,0.0,2.0,1.0,1.0,0.0,0.0,80.42,-57.0,-39.0,-57.0,-53.0,-42.0,20.0
